UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_rolling_mean,Air_temperature_rolling_std,Process_temperature_rolling_mean,Process_temperature_rolling_std,Rotational_speed_rolling_mean,Rotational_speed_rolling_std,Torque_rolling_mean,Torque_rolling_std,Tool_wear_rolling_mean,Tool_wear_rolling_std,Air_temperature_roc,Process_temperature_roc,Rotational_speed_roc,Torque_roc,Tool_wear_roc,power_proxy,temp_delta
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,308.6,0.0,1551.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66382.79999999999,10.5
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.07071067811865074,308.65,0.07071067811865074,1479.5,101.1162697096763,44.55,2.4748737341529163,1.5,2.1213203435596424,0.0999999999999659,0.0999999999999659,-143.0,3.5,3.0,65190.399999999994,10.5
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.05773502691894699,308.59999999999997,0.0999999999999801,1485.6666666666667,72.29338374521788,46.166666666666664,3.302019584032375,2.6666666666666665,2.516611478423583,-0.0999999999999659,-0.19999999999998863,90.0,3.1000000000000014,2.0,74001.2,10.399999999999977
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.057735026918953825,308.6,0.08164965809275636,1472.5,64.63487190879755,44.5,4.287190222045203,3.75,2.9860788111948193,0.0999999999999659,0.10000000000002274,-65.0,-9.899999999999999,2.0,56603.5,10.400000000000034
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.15999999999997,0.05477225575051307,308.62,0.0836660026534045,1459.6,62.970628073729735,43.6,4.223150482755735,4.8,3.492849839314596,0.0,0.0999999999999659,-25.0,0.5,2.0,56320.0,10.5
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15000000000003,0.05477225575050381,308.6166666666667,0.07527726527090181,1453.8333333333333,58.06691542235273,43.31666666666666,3.8405294773854646,5.833333333333333,4.02077936060494,-0.0999999999999659,-0.0999999999999659,17.0,1.8999999999999986,2.0,59707.5,10.5
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14285714285717,0.05345224838246661,308.61428571428576,0.0690065559342277,1468.7142857142858,66.02957490325653,43.18571428571429,3.5229857466967665,7.0,4.795831523312719,0.0,0.0,133.0,0.5,3.0,66059.2,10.5
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1375,0.05175491695065552,308.6125,0.06408699444615774,1476.0,64.51135005341534,42.8125,3.42821798773482,8.125,5.462534733462636,0.0,0.0,-31.0,-2.1999999999999957,2.0,61385.4,10.5
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.15555555555557,0.07264831572566778,308.6222222222222,0.06666666666665884,1497.2222222222222,87.720832442724,41.233333333333334,5.720795399243013,9.222222222222221,6.078194176270157,0.19999999999998863,0.0999999999999659,140.0,-11.600000000000001,2.0,47676.200000000004,10.399999999999977
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,308.65999999999997,0.1349897115421144,1521.6,113.06065235576496,39.910000000000004,6.826655273427996,10.4,6.834552736727628,0.19999999999998863,0.30000000000001137,74.0,-0.6000000000000014,3.0,48748.0,10.5
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,0.13984117975601654,308.69,0.15238839267550974,1544.7,140.10000396542162,38.019999999999996,8.377721779948432,12.8,6.988880056521535,-0.10000000000002274,-0.10000000000002274,41.0,-4.100000000000001,3.0,42589.799999999996,10.5
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,0.1837873166945515,308.72999999999996,0.20027758514402857,1546.2,138.5454598478221,37.82,8.179622376505062,15.4,7.734482673212361,0.20000000000004547,0.20000000000004547,-359.0,20.4,5.0,63038.899999999994,10.5
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,0.20248456731320144,308.79,0.2131770260709857,1530.3,153.0555817705161,37.989999999999995,8.459898869897264,18.3,8.769264507357503,0.0,0.0,-84.0,6.800000000000004,5.0,68422.90000000001,10.5
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,0.2173067468401398,308.85,0.23687784005927653,1561.2,162.15068437858804,37.04,8.798131114680618,21.3,9.569047322835575,0.0,0.0999999999999659,403.0,-21.1,3.0,52260.0,10.599999999999966
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,0.22335820757008182,308.9,0.2538591035288872,1623.9,210.3803169922933,35.0,10.276402310363514,24.4,10.145606602531629,0.0,0.0,293.0,-10.399999999999999,3.0,39886.0,10.599999999999966
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,0.20655911179782582,308.96,0.24585451886126286,1635.6,201.14019433663134,35.65,10.94514098178325,27.5,10.330644811541159,0.0,0.0,-493.0,28.799999999999997,2.0,74632.8,10.599999999999966
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,0.17288403306534178,309.02,0.22010098692308874,1610.9,225.42771691953854,36.07,11.30752453506563,30.5,10.33064481154116,0.0,0.0,-231.0,-1.7999999999999972,2.0,61092.6,10.599999999999966
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,0.11785113019799526,309.08000000000004,0.16865480854259585,1599.2,233.16937096358862,36.61,11.650412486736734,33.6,10.145606602531632,0.0999999999999659,0.0,99.0,-1.0,3.0,64296.0,10.5
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,0.10540925533923995,309.13,0.10593499054767433,1563.1,248.9196434371722,39.2,12.51843085658547,36.8,9.715966241192904,0.10000000000002274,0.0,-104.0,8.899999999999999,3.0,71177.0,10.399999999999977
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,0.13498971154234193,309.16,0.10749676997789263,1552.2,242.56948603555975,39.65,12.146444381427479,40.2,9.51957048517539,0.0999999999999659,0.10000000000002274,326.0,-22.0,5.0,53040.0,10.400000000000034
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,0.12866839377104017,309.2,0.06666666666767808,1511.5,233.71076616669222,41.53,10.82035633013586,43.6,9.15544768005489,0.0,0.0,-257.0,10.200000000000003,3.0,58712.50000000001,10.400000000000034
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,0.12866839377105413,309.22,0.06324555320447693,1514.2,232.72864504014603,41.58,10.835722813402386,47.0,9.439868172337546,-0.0999999999999659,0.0,75.0,2.0999999999999943,5.0,64959.99999999999,10.5
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,0.13498971154238304,309.23999999999995,0.051639777950837615,1538.4,224.93811494621278,39.540000000000006,10.764365079072505,50.1,9.780365819106967,0.0999999999999659,0.0,131.0,-14.099999999999998,2.0,48536.7,10.400000000000034
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,0.14757295747481386,309.26,0.06992058987906662,1540.0,226.59802882343604,39.11,11.262173660335542,53.2,10.07527225990005,0.10000000000002274,0.0999999999999659,177.0,-5.0,3.0,45180.6,10.399999999999977
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,0.14757295747485838,309.28000000000003,0.07888106377561309,1492.6,147.2218280917158,40.88,9.023647944275213,56.2,10.174041041351833,0.0,0.0,-197.0,11.599999999999998,2.0,58225.299999999996,10.399999999999977
