UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_roll_mean,Air_temperature_K_roll_std,Air_temperature_K_roll_var,Process_temperature_K_roll_mean,Process_temperature_K_roll_std,Process_temperature_K_roll_var,Rotational_speed_rpm_roll_mean,Rotational_speed_rpm_roll_std,Rotational_speed_rpm_roll_var,Torque_Nm_roll_mean,Torque_Nm_roll_std,Torque_Nm_roll_var,Tool_wear_min_roll_mean,Tool_wear_min_roll_std,Tool_wear_min_roll_var
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,0.0,308.6,0.0,0.0,1551.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.07071067811865074,0.004999999999999432,308.65,0.07071067811865074,0.004999999999999432,1479.5,101.1162697096763,10224.5,44.55,2.4748737341529163,6.125,1.5,2.1213203435596424,4.5
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.05773502691894699,0.0033333333333315333,308.59999999999997,0.0999999999999801,0.00999999999999602,1485.6666666666667,72.29338374521788,5226.333333333333,46.166666666666664,3.302019584032375,10.903333333333338,2.6666666666666665,2.516611478423583,6.333333333333333
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.057735026918953825,0.0033333333333323226,308.6,0.08164965809275636,0.006666666666664014,1472.5,64.63487190879755,4177.666666666667,44.5,4.287190222045203,18.38,3.75,2.9860788111948193,8.916666666666666
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.15999999999997,0.05477225575051307,0.0029999999999996115,308.62,0.0836660026534045,0.006999999999999488,1459.6,62.970628073729735,3965.2999999999993,43.6,4.223150482755735,17.835,4.8,3.492849839314596,12.2
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15000000000003,0.05477225575050381,0.002999999999998598,308.6166666666667,0.07527726527090181,0.005666666666665719,1453.8333333333333,58.06691542235273,3371.766666666665,43.31666666666666,3.8405294773854646,14.74966666666667,5.833333333333333,4.02077936060494,16.166666666666668
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14285714285717,0.05345224838246661,0.002857142857140904,308.61428571428576,0.0690065559342277,0.004761904761903697,1468.7142857142858,66.02957490325653,4359.904761904764,43.18571428571429,3.5229857466967665,12.411428571428575,7.0,4.795831523312719,23.0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1375,0.05175491695065552,0.00267857142856925,308.6125,0.06408699444615774,0.004107142857141854,1476.0,64.51135005341534,4161.714285714291,42.8125,3.42821798773482,11.752678571428577,8.125,5.462534733462636,29.839285714285715
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.15555555555557,0.07264831572566778,0.005277777777776308,308.6222222222222,0.06666666666665884,0.004444444444443401,1497.2222222222222,87.720832442724,7694.94444444446,41.233333333333334,5.720795399243013,32.72750000000002,9.222222222222221,6.078194176270157,36.94444444444444
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,0.016555555555553988,308.65999999999997,0.1349897115421144,0.01822222222222325,1521.6,113.06065235576496,12782.711111111139,39.910000000000004,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111
