UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_roll_mean,Air_temperature_K_roll_std,Air_temperature_K_roll_var,Process_temperature_K_roll_mean,Process_temperature_K_roll_std,Process_temperature_K_roll_var,Rotational_speed_rpm_roll_mean,Rotational_speed_rpm_roll_std,Rotational_speed_rpm_roll_var,Torque_Nm_roll_mean,Torque_Nm_roll_std,Torque_Nm_roll_var,Tool_wear_min_roll_mean,Tool_wear_min_roll_std,Tool_wear_min_roll_var,timestamp,ambient_temperature_C,factory_load_density,temp_gap,load_torque_interaction,heat_stress_index
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,0.0,308.6,0.0,0.0,1551.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,2024-01-01 00:00:00,17.75,15.15,17.700000000000045,648.42,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.0707106781186507,0.0049999999999994,308.65,0.0707106781186507,0.0049999999999994,1479.5,101.1162697096763,10224.5,44.55,2.4748737341529163,6.125,1.5,2.1213203435596424,4.5,2024-01-01 00:10:00,16.79,20.4,18.75999999999999,944.5199999999999,0.5036999999999999
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.0577350269189469,0.0033333333333315,308.6,0.0999999999999801,0.009999999999996,1485.6666666666667,72.29338374521788,5226.333333333333,46.16666666666666,3.302019584032375,10.903333333333338,2.6666666666666665,2.516611478423583,6.333333333333333,2024-01-01 00:20:00,17.97,39.1,17.379999999999995,1931.54,0.8985
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.0577350269189538,0.0033333333333323,308.6,0.0816496580927563,0.006666666666664,1472.5,64.63487190879755,4177.666666666667,44.5,4.287190222045203,18.38,3.75,2.9860788111948198,8.916666666666666,2024-01-01 00:30:00,19.28,33.42,16.170000000000073,1320.0900000000001,1.3496000000000001
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.16,0.054772255750513,0.0029999999999996,308.62,0.0836660026534045,0.0069999999999994,1459.6,62.970628073729735,3965.2999999999993,43.6,4.223150482755735,17.835,4.8,3.492849839314596,12.2,2024-01-01 00:40:00,16.65,18.48,18.900000000000034,739.2,1.4985
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15000000000003,0.0547722557505038,0.0029999999999985,308.6166666666667,0.0752772652709018,0.0056666666666657,1453.8333333333333,58.06691542235273,3371.766666666665,43.31666666666666,3.840529477385465,14.74966666666667,5.833333333333333,4.02077936060494,16.166666666666668,2024-01-01 00:50:00,16.65,26.92,18.800000000000068,1127.948,1.8314999999999997
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.1428571428572,0.0534522483824666,0.0028571428571409,308.61428571428576,0.0690065559342277,0.0047619047619036,1468.7142857142858,66.02957490325653,4359.904761904764,43.18571428571429,3.5229857466967665,12.411428571428576,7.0,4.795831523312719,23.0,2024-01-01 01:00:00,19.64,22.13,15.81000000000006,938.3119999999999,2.7496000000000005
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1375,0.0517549169506555,0.0026785714285692,308.6125,0.0640869944461577,0.0041071428571418,1476.0,64.51135005341534,4161.714285714291,42.8125,3.42821798773482,11.752678571428577,8.125,5.462534733462636,29.839285714285715,2024-01-01 01:10:00,18.42,24.7,17.03000000000003,992.94,2.9472000000000005
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.1555555555556,0.0726483157256677,0.0052777777777763,308.6222222222222,0.0666666666666588,0.0044444444444434,1497.2222222222222,87.720832442724,7694.94444444446,41.23333333333333,5.720795399243013,32.72750000000002,9.22222222222222,6.078194176270157,36.94444444444444,2024-01-01 01:20:00,16.57,20.65,18.980000000000018,590.59,2.9825999999999997
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.19,0.1286683937707858,0.0165555555555539,308.66,0.1349897115421144,0.0182222222222232,1521.6,113.06065235576496,12782.71111111114,39.91,6.826655273427996,46.60322222222227,10.4,6.834552736727628,46.71111111111111,2024-01-01 01:30:00,18.09,18.38,17.760000000000048,514.64,3.7988999999999997
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,0.1398411797560165,0.0195555555555545,308.69,0.1523883926755097,0.0232222222222253,1544.7,140.10000396542162,19628.01111111115,38.02,8.377721779948432,70.18622222222233,12.8,6.988880056521535,48.84444444444445,2024-01-01 01:40:00,16.58,30.24,19.170000000000016,722.7359999999999,3.9791999999999996
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,0.1837873166945515,0.0337777777777833,308.73,0.2002775851440285,0.0401111111111236,1546.2,138.5454598478221,19194.844444444483,37.82,8.179622376505062,66.90622222222233,15.4,7.734482673212361,59.82222222222223,2024-01-01 01:50:00,16.57,33.36,19.380000000000052,1477.848,4.8053
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,0.2024845673132014,0.0410000000000144,308.79,0.2131770260709857,0.0454444444444697,1530.3,153.0555817705161,23426.011111111147,37.99,8.459898869897264,71.56988888888901,18.3,8.769264507357503,76.90000000000002,2024-01-01 02:00:00,18.43,36.22,17.52000000000004,1850.842,6.2662
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,0.2173067468401398,0.0472222222222446,308.85,0.2368778400592765,0.0561111111111481,1561.2,162.15068437858804,26292.84444444448,37.04,8.798131114680618,77.40711111111123,21.3,9.569047322835576,91.56666666666668,2024-01-01 02:10:00,15.2,14.66,20.850000000000023,439.8,5.624
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,0.2233582075700818,0.0498888888889197,308.9,0.2538591035288872,0.0644444444444902,1623.9,210.3803169922933,44259.877777777816,35.0,10.276402310363514,105.60444444444455,24.4,10.145606602531627,102.93333333333337,2024-01-01 02:20:00,15.48,34.69,20.569999999999993,679.924,6.192
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,0.2065591117978258,0.0426666666667067,308.96,0.2458545188612628,0.060444444444503,1635.6,201.1401943366313,40457.37777777782,35.65,10.94514098178325,119.7961111111112,27.5,10.33064481154116,106.72222222222229,2024-01-01 02:30:00,17.23,17.64,18.819999999999993,853.776,7.236599999999999
