udi,product_id,type,air_temp,process_temp,rotational_speed,torque,tool_wear,failure,TWF,HDF,PWF,OSF,RNF,air_temp_rolling_mean,air_temp_rolling_std,air_temp_rolling_var,process_temp_rolling_mean,process_temp_rolling_std,process_temp_rolling_var,rotational_speed_rolling_mean,rotational_speed_rolling_std,rotational_speed_rolling_var,torque_rolling_mean,torque_rolling_std,torque_rolling_var,tool_wear_rolling_mean,tool_wear_rolling_std,tool_wear_rolling_var,ambient_humidity,factory_load,power,temp_diff,wear_stress,temp_humidity_index,load_impact_torque,ambient_humidity_rolling_mean,factory_load_rolling_mean
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.54,0.0894427191001983,0.0080000000000369,309.06,0.1140175425104202,0.0130000000001154,1605.4,207.64946424202492,43118.3,35.46,11.638857332229833,135.46300000000008,29.0,6.670832032063166,44.49999999999999,52.13099170253875,0.3026033628928576,52260.0,10.599999999999966,1110.0,454.2631412237808,9.078100886785728,51.34624467901125,0.3026033628928576
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.56000000000006,0.0894427191002126,0.0080000000000395,309.1,0.1224744871396683,0.0150000000001247,1664.2,283.4408227478886,80338.70000000001,33.78,13.450167285205048,180.90700000000007,32.8,6.379655163094632,40.69999999999999,52.270778183210886,0.3026033628928576,39886.0,10.599999999999966,784.0,454.68054365506777,5.93102591270001,51.390663583296714,0.3026033628928576
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.6,0.0,0.0,309.16,0.0547722557517667,0.0030000000001369,1616.2,278.78791222002434,77722.70000000001,38.67999999999999,13.413687039736686,179.92699999999994,36.4,5.128352561983234,26.3,52.398019462512075,0.3026033628928576,74632.8,10.599999999999966,2032.8,455.0604861150611,14.646002764014307,51.34573546190393,0.3026033628928576
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.6,0.0,0.0,309.17999999999995,0.0447213595515829,0.0020000000001419,1593.8,301.7460853101495,91050.7,39.14,13.691165034430048,187.44799999999992,39.4,3.9749213828703582,15.800000000000002,53.31867846810894,0.3026033628928576,61092.6,10.599999999999966,2050.4,457.80957390577333,14.101316710807165,51.40953257912254,0.3026033628928576
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.62,0.0447213595505154,0.0020000000000464,309.2,0.0,0.0,1608.0,288.12063445716626,83013.50000000001,38.040000000000006,12.67312116252346,160.60799999999998,42.0,3.8078865529319543,14.500000000000004,50.51056224441255,0.3026033628928576,64296.0,10.5,2143.2000000000003,449.57504942406024,13.798713347914306,51.41454435415172,0.3026033628928576
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.66,0.0894427191002801,0.0080000000000516,309.2,0.0,0.0,1520.8,303.0193063156208,91820.7,42.94,13.496962621271493,182.1679999999998,44.6,3.9749213828703582,15.800000000000002,53.21760040852634,0.3026033628928576,71177.0,10.399999999999977,2725.0,457.81419002067673,16.49188327766074,51.745379013457615,0.3026033628928576
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.72,0.1303840481042641,0.017000000000055,309.22,0.0447213595517386,0.0020000000001558,1440.2,143.84436033435583,20691.2,45.52,8.056488068631378,64.90699999999975,47.6,5.128352561983234,26.3,49.78688801263413,0.3026033628928576,53040.0,10.400000000000034,1787.5,447.7130082697634,9.834609294017872,51.67150999297096,0.3026033628928576
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.78000000000003,0.1303840481042854,0.0170000000000606,309.24,0.0547722557520151,0.0030000000001641,1406.8,133.2992873199253,17768.7,44.38,7.949654080524497,63.19699999999978,50.8,5.718391382198319,32.7,53.767186159488126,0.3026033628928576,58712.50000000001,10.400000000000034,2476.6000000000004,459.61011943071,12.921163595525021,52.00013470871212,0.3026033628928576
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.82000000000005,0.0836660026538058,0.0070000000000666,309.26000000000005,0.0547722557520955,0.0030000000001729,1434.6,122.37156532462924,14974.800000000005,44.02,7.864286363046541,61.84699999999979,54.6,6.348228099241552,40.3,53.82093279491291,0.3026033628928576,64959.99999999999,10.5,2822.3999999999996,459.6169471911998,13.55663065760002,52.008621656697734,0.3026033628928576
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.86,0.0547722557511797,0.0030000000000726,309.28000000000003,0.0447213595520341,0.0020000000001823,1468.8,136.81995468498008,18719.700000000004,41.04,9.719979423846528,94.47799999999988,58.2,6.058052492344383,36.7,53.441418485790145,0.3026033628928576,48536.7,10.400000000000034,1995.5,458.6363998540267,9.289923240810728,52.46630559221349,0.3026033628928576
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.9,0.0707106781192341,0.0050000000000819,309.32,0.0447213595522597,0.0020000000002024,1559.2,150.95595384084726,22787.700000000004,35.28,8.157327993896045,66.54200000000009,61.8,5.263078946776306,27.7,52.39279059975847,0.3026033628928576,45180.6,10.399999999999977,1747.6,455.6544438932778,7.77690642634644,52.492485481935454,0.3026033628928576
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.92,0.0836660026539128,0.0070000000000845,309.34000000000003,0.0547722557524698,0.0030000000002139,1545.0,145.64168359367454,21211.500000000007,36.24,8.029819425117855,64.47800000000004,64.8,4.658325879540847,21.700000000000006,51.51260401926597,0.3026033628928576,58225.299999999996,10.399999999999977,2611.0,453.0226860176053,11.287105435903587,52.41666806554097,0.3026033628928576
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.93999999999994,0.0894427191004755,0.0080000000000865,309.38,0.0836660026548347,0.0070000000002388,1642.2,164.74434739923552,27140.700000000004,32.36,8.779977220927181,77.08800000000018,67.8,3.962322551231792,15.700000000000015,51.26539835856815,0.3026033628928576,43361.3,10.5,1700.9,452.2835410921188,7.050658355403582,52.30340595514657,0.3026033628928576
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,299.0,0.0707106781193517,0.0050000000000985,309.42,0.0836660026549858,0.0070000000002641,1654.6,148.15971112282853,21951.3,31.2,6.909413868049897,47.74000000000024,70.2,3.962322551231792,15.700000000000015,51.18367276406998,0.3026033628928576,58968.0,10.399999999999977,2925.0,452.19036523733337,11.801531152821447,52.08990538474268,0.3026033628928576
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,299.04,0.0547722557514632,0.0030000000001036,309.43999999999994,0.0547722557530626,0.0030000000002789,1700.6,155.13639160429122,24067.3,29.98,7.530405035587413,56.70700000000027,72.6,3.6469165057620967,13.30000000000002,54.94298915116745,0.3026033628928576,44550.600000000006,10.299999999999955,1894.2,463.4344805511419,7.444042727164297,52.53314807541817,0.3026033628928576
